500 4
1000    18
1500    40
2000    71
2500    110
3000    159
3500    215
4000    282
4500    355
5000    441
5500    530
6000    631
6500    741
7000    859
7500    987
8000    1122
8500    1268
9000    1420
9500    1582
10000   1754
